date,tmax_c,anomaly,anomaly_lag1
2006-02-12,-2.2,-7.568739798246654,-3.070960886278165
2006-02-13,2.2,-3.270918889024249,-7.568739798246654
2006-02-14,5.0,-0.577439064451502,-3.270918889024249
2006-02-15,13.3,7.611762211782419,-0.577439064451502
2006-02-16,15.0,9.196750833892768,7.611762211782419
2006-02-17,14.4,8.477595963188866,9.196750833892768
2006-02-18,1.7,-4.3456300691028655,8.477595963188866
2006-02-19,-1.1,-7.272851865169308,-4.3456300691028655
2006-02-20,2.2,-4.103991069865698,-7.272851865169308
2006-02-21,5.0,-1.438966485651223,-4.103991069865698
2006-02-22,7.2,0.6223058070533645,-1.438966485651223
2006-02-23,8.9,2.179912324358755,0.6223058070533645
2006-02-24,5.6,-1.266057951463595,2.179912324358755
2006-02-25,10.0,2.98448629308242,-1.266057951463595
2006-02-26,-1.7,-8.868361436473874,2.98448629308242
2006-02-27,-1.1,-8.424505585695828,-8.868361436473874
2006-02-28,0.6,-6.883848697968582,-8.424505585695828
2006-03-01,5.0,-2.6462915644910714,-6.883848697968582
2006-03-02,1.7,-6.111733377181975,-2.6462915644910714
2006-03-03,0.6,-7.380071884143291,-6.111733377181975
2006-03-04,3.9,-4.251203547318516,-7.380071884143291
2006-03-05,7.2,-1.1250237019766116,-4.251203547318516
2006-03-06,6.1,-2.401426717648455,-1.1250237019766116
2006-03-07,6.7,-1.9803061601384266,-2.401426717648455
2006-03-08,9.4,0.5384450457689258,-1.9803061601384266
2006-03-09,10.6,1.5549344532889773,0.5384450457689258
2006-03-10,23.3,14.069269930686753,1.5549344532889773
2006-03-11,17.2,7.781559498778819,14.069269930686753
2006-03-12,12.8,3.1919111692688755,7.781559498778819
2006-03-13,16.7,6.900432784296548,3.1919111692688755
2006-03-14,16.7,6.707231857575588,6.900432784296548
2006-03-15,7.2,-2.987584582506096,6.707231857575588
2006-03-16,8.9,-1.4839101474573901,-2.987584582506096
2006-03-17,7.8,-2.7816392405645596,-1.4839101474573901
2006-03-18,5.6,-5.180667205726996,-2.7816392405645596
2006-03-19,5.6,-5.380890472901564,-5.180667205726996
2006-03-20,5.0,-6.18220669981763,-5.380890472901564
2006-03-21,6.7,-4.684514909634362,-6.18220669981763
2006-03-22,7.8,-3.7877156242224848,-4.684514909634362
2006-03-23,12.2,0.4082890072362453,-3.7877156242224848
2006-03-24,11.1,-0.8964049153735534,0.4082890072362453
2006-03-25,8.3,-3.9017031614647806,-0.8964049153735534
2006-03-26,10.6,-1.8075134825847812,-3.9017031614647806
2006-03-27,14.4,1.7862542805288335,-1.8075134825847812
2006-03-28,13.3,0.4796880969125983,1.7862542805288335
2006-03-29,17.2,4.172873650585508,0.4796880969125983
2006-03-30,19.4,6.165894252208949,4.172873650585508
2006-03-31,21.1,7.658830757389152,6.165894252208949
2006-04-01,23.9,10.25176149179608,7.658830757389152
2006-04-02,20.0,6.1447621832551995,10.25176149179608
2006-04-03,14.4,0.3379059009504015,6.1447621832551995
2006-04-04,12.8,-1.4687369981417255,0.3379059009504015
2006-04-05,8.3,-6.1750989154848615,-1.4687369981417255
2006-04-06,11.7,-2.9811150498005006,-6.1750989154848615
2006-04-07,18.9,4.013276571593391,-2.9811150498005006
2006-04-08,17.2,2.1081350689669787,4.013276571593391
2006-04-09,14.4,-0.896483306088772,2.1081350689669787
2006-04-10,16.7,1.1994748206242907,-0.896483306088772
2006-04-11,20.0,4.296059944737639,1.1994748206242907
2006-04-12,17.8,1.893319689648651,4.296059944737639
2006-04-13,25.6,9.491298820307183,1.893319689648651
2006-04-14,19.4,3.090039264384359,9.491298820307183
2006-04-15,26.7,10.189580140732943,3.090039264384359
2006-04-16,19.4,2.6899577950299864,10.189580140732943
2006-04-17,17.2,0.29120584247396764,2.6899577950299864
2006-04-18,22.2,5.093355217390577,0.29120584247396764
2006-04-19,23.9,6.596434229583714,5.093355217390577
2006-04-20,28.3,10.800468627250833,6.596434229583714
2006-04-21,16.7,-0.9945183337348382,10.800468627250833
