"date","calendar_index","year","count","split","period","count_method","index","dataset","D_max","final_split","neural_split"
"2006-03-17",76,2006,2,"development",365,"Distinct incident_key per occurrence date.",76,"nyc_shootings",100,"development","train"
"2006-03-18",77,2006,1,"development",365,"Distinct incident_key per occurrence date.",77,"nyc_shootings",100,"development","train"
"2006-03-19",78,2006,3,"development",365,"Distinct incident_key per occurrence date.",78,"nyc_shootings",100,"development","train"
"2006-03-20",79,2006,4,"development",365,"Distinct incident_key per occurrence date.",79,"nyc_shootings",100,"development","train"
"2006-03-21",80,2006,3,"development",365,"Distinct incident_key per occurrence date.",80,"nyc_shootings",100,"development","train"
"2006-03-22",81,2006,2,"development",365,"Distinct incident_key per occurrence date.",81,"nyc_shootings",100,"development","train"
"2006-03-23",82,2006,3,"development",365,"Distinct incident_key per occurrence date.",82,"nyc_shootings",100,"development","train"
"2006-03-24",83,2006,4,"development",365,"Distinct incident_key per occurrence date.",83,"nyc_shootings",100,"development","train"
"2006-03-25",84,2006,4,"development",365,"Distinct incident_key per occurrence date.",84,"nyc_shootings",100,"development","train"
"2006-03-26",85,2006,5,"development",365,"Distinct incident_key per occurrence date.",85,"nyc_shootings",100,"development","train"
"2006-03-27",86,2006,3,"development",365,"Distinct incident_key per occurrence date.",86,"nyc_shootings",100,"development","train"
"2006-03-28",87,2006,3,"development",365,"Distinct incident_key per occurrence date.",87,"nyc_shootings",100,"development","train"
"2006-03-29",88,2006,3,"development",365,"Distinct incident_key per occurrence date.",88,"nyc_shootings",100,"development","train"
"2006-03-30",89,2006,0,"development",365,"Distinct incident_key per occurrence date.",89,"nyc_shootings",100,"development","train"
"2006-03-31",90,2006,3,"development",365,"Distinct incident_key per occurrence date.",90,"nyc_shootings",100,"development","train"
"2006-04-01",91,2006,5,"development",365,"Distinct incident_key per occurrence date.",91,"nyc_shootings",100,"development","train"
"2006-04-02",92,2006,4,"development",365,"Distinct incident_key per occurrence date.",92,"nyc_shootings",100,"development","train"
"2006-04-03",93,2006,4,"development",365,"Distinct incident_key per occurrence date.",93,"nyc_shootings",100,"development","train"
"2006-04-04",94,2006,3,"development",365,"Distinct incident_key per occurrence date.",94,"nyc_shootings",100,"development","train"
"2006-04-05",95,2006,2,"development",365,"Distinct incident_key per occurrence date.",95,"nyc_shootings",100,"development","train"
"2006-04-06",96,2006,4,"development",365,"Distinct incident_key per occurrence date.",96,"nyc_shootings",100,"development","train"
"2006-04-07",97,2006,1,"development",365,"Distinct incident_key per occurrence date.",97,"nyc_shootings",100,"development","train"
"2006-04-08",98,2006,5,"development",365,"Distinct incident_key per occurrence date.",98,"nyc_shootings",100,"development","train"
"2006-04-09",99,2006,1,"development",365,"Distinct incident_key per occurrence date.",99,"nyc_shootings",100,"development","train"
"2006-04-10",100,2006,6,"development",365,"Distinct incident_key per occurrence date.",100,"nyc_shootings",100,"development","train"
"2006-04-11",101,2006,3,"development",365,"Distinct incident_key per occurrence date.",101,"nyc_shootings",100,"development","train"
"2006-04-12",102,2006,1,"development",365,"Distinct incident_key per occurrence date.",102,"nyc_shootings",100,"development","train"
"2006-04-13",103,2006,3,"development",365,"Distinct incident_key per occurrence date.",103,"nyc_shootings",100,"development","train"
"2006-04-14",104,2006,5,"development",365,"Distinct incident_key per occurrence date.",104,"nyc_shootings",100,"development","train"
"2006-04-15",105,2006,4,"development",365,"Distinct incident_key per occurrence date.",105,"nyc_shootings",100,"development","train"
"2006-04-16",106,2006,7,"development",365,"Distinct incident_key per occurrence date.",106,"nyc_shootings",100,"development","train"
"2006-04-17",107,2006,3,"development",365,"Distinct incident_key per occurrence date.",107,"nyc_shootings",100,"development","train"
"2006-04-18",108,2006,3,"development",365,"Distinct incident_key per occurrence date.",108,"nyc_shootings",100,"development","train"
"2006-04-19",109,2006,3,"development",365,"Distinct incident_key per occurrence date.",109,"nyc_shootings",100,"development","train"
"2006-04-20",110,2006,3,"development",365,"Distinct incident_key per occurrence date.",110,"nyc_shootings",100,"development","train"
"2006-04-21",111,2006,7,"development",365,"Distinct incident_key per occurrence date.",111,"nyc_shootings",100,"development","train"
"2006-04-22",112,2006,4,"development",365,"Distinct incident_key per occurrence date.",112,"nyc_shootings",100,"development","train"
"2006-04-23",113,2006,5,"development",365,"Distinct incident_key per occurrence date.",113,"nyc_shootings",100,"development","train"
"2006-04-24",114,2006,5,"development",365,"Distinct incident_key per occurrence date.",114,"nyc_shootings",100,"development","train"
"2006-04-25",115,2006,4,"development",365,"Distinct incident_key per occurrence date.",115,"nyc_shootings",100,"development","train"
"2006-04-26",116,2006,4,"development",365,"Distinct incident_key per occurrence date.",116,"nyc_shootings",100,"development","train"
"2006-04-27",117,2006,2,"development",365,"Distinct incident_key per occurrence date.",117,"nyc_shootings",100,"development","train"
"2006-04-28",118,2006,5,"development",365,"Distinct incident_key per occurrence date.",118,"nyc_shootings",100,"development","train"
"2006-04-29",119,2006,4,"development",365,"Distinct incident_key per occurrence date.",119,"nyc_shootings",100,"development","train"
"2006-04-30",120,2006,3,"development",365,"Distinct incident_key per occurrence date.",120,"nyc_shootings",100,"development","train"
"2006-05-01",121,2006,7,"development",365,"Distinct incident_key per occurrence date.",121,"nyc_shootings",100,"development","train"
"2006-05-02",122,2006,3,"development",365,"Distinct incident_key per occurrence date.",122,"nyc_shootings",100,"development","train"
"2006-05-03",123,2006,3,"development",365,"Distinct incident_key per occurrence date.",123,"nyc_shootings",100,"development","train"
"2006-05-04",124,2006,4,"development",365,"Distinct incident_key per occurrence date.",124,"nyc_shootings",100,"development","train"
"2006-05-05",125,2006,7,"development",365,"Distinct incident_key per occurrence date.",125,"nyc_shootings",100,"development","train"
"2006-05-06",126,2006,4,"development",365,"Distinct incident_key per occurrence date.",126,"nyc_shootings",100,"development","train"
"2006-05-07",127,2006,8,"development",365,"Distinct incident_key per occurrence date.",127,"nyc_shootings",100,"development","train"
"2006-05-08",128,2006,3,"development",365,"Distinct incident_key per occurrence date.",128,"nyc_shootings",100,"development","train"
"2006-05-09",129,2006,1,"development",365,"Distinct incident_key per occurrence date.",129,"nyc_shootings",100,"development","train"
"2006-05-10",130,2006,5,"development",365,"Distinct incident_key per occurrence date.",130,"nyc_shootings",100,"development","train"
"2006-05-11",131,2006,4,"development",365,"Distinct incident_key per occurrence date.",131,"nyc_shootings",100,"development","train"
"2006-05-12",132,2006,2,"development",365,"Distinct incident_key per occurrence date.",132,"nyc_shootings",100,"development","train"
"2006-05-13",133,2006,4,"development",365,"Distinct incident_key per occurrence date.",133,"nyc_shootings",100,"development","train"
"2006-05-14",134,2006,4,"development",365,"Distinct incident_key per occurrence date.",134,"nyc_shootings",100,"development","train"
"2006-05-15",135,2006,2,"development",365,"Distinct incident_key per occurrence date.",135,"nyc_shootings",100,"development","train"
"2006-05-16",136,2006,1,"development",365,"Distinct incident_key per occurrence date.",136,"nyc_shootings",100,"development","train"
"2006-05-17",137,2006,4,"development",365,"Distinct incident_key per occurrence date.",137,"nyc_shootings",100,"development","train"
"2006-05-18",138,2006,5,"development",365,"Distinct incident_key per occurrence date.",138,"nyc_shootings",100,"development","train"
"2006-05-19",139,2006,1,"development",365,"Distinct incident_key per occurrence date.",139,"nyc_shootings",100,"development","train"
"2006-05-20",140,2006,7,"development",365,"Distinct incident_key per occurrence date.",140,"nyc_shootings",100,"development","train"
"2006-05-21",141,2006,8,"development",365,"Distinct incident_key per occurrence date.",141,"nyc_shootings",100,"development","train"
"2006-05-22",142,2006,3,"development",365,"Distinct incident_key per occurrence date.",142,"nyc_shootings",100,"development","train"
"2006-05-23",143,2006,6,"development",365,"Distinct incident_key per occurrence date.",143,"nyc_shootings",100,"development","train"
"2006-05-24",144,2006,5,"development",365,"Distinct incident_key per occurrence date.",144,"nyc_shootings",100,"development","train"
"2006-05-25",145,2006,4,"development",365,"Distinct incident_key per occurrence date.",145,"nyc_shootings",100,"development","train"
"2006-05-26",146,2006,4,"development",365,"Distinct incident_key per occurrence date.",146,"nyc_shootings",100,"development","train"
"2006-05-27",147,2006,4,"development",365,"Distinct incident_key per occurrence date.",147,"nyc_shootings",100,"development","train"
"2006-05-28",148,2006,8,"development",365,"Distinct incident_key per occurrence date.",148,"nyc_shootings",100,"development","train"
"2006-05-29",149,2006,8,"development",365,"Distinct incident_key per occurrence date.",149,"nyc_shootings",100,"development","train"
"2006-05-30",150,2006,3,"development",365,"Distinct incident_key per occurrence date.",150,"nyc_shootings",100,"development","train"
"2006-05-31",151,2006,2,"development",365,"Distinct incident_key per occurrence date.",151,"nyc_shootings",100,"development","train"
"2006-06-01",152,2006,4,"development",365,"Distinct incident_key per occurrence date.",152,"nyc_shootings",100,"development","train"
"2006-06-02",153,2006,4,"development",365,"Distinct incident_key per occurrence date.",153,"nyc_shootings",100,"development","train"
"2006-06-03",154,2006,8,"development",365,"Distinct incident_key per occurrence date.",154,"nyc_shootings",100,"development","train"
"2006-06-04",155,2006,6,"development",365,"Distinct incident_key per occurrence date.",155,"nyc_shootings",100,"development","train"
"2006-06-05",156,2006,3,"development",365,"Distinct incident_key per occurrence date.",156,"nyc_shootings",100,"development","train"
"2006-06-06",157,2006,2,"development",365,"Distinct incident_key per occurrence date.",157,"nyc_shootings",100,"development","train"
"2006-06-07",158,2006,3,"development",365,"Distinct incident_key per occurrence date.",158,"nyc_shootings",100,"development","train"
"2006-06-08",159,2006,2,"development",365,"Distinct incident_key per occurrence date.",159,"nyc_shootings",100,"development","train"
"2006-06-09",160,2006,5,"development",365,"Distinct incident_key per occurrence date.",160,"nyc_shootings",100,"development","train"
"2006-06-10",161,2006,4,"development",365,"Distinct incident_key per occurrence date.",161,"nyc_shootings",100,"development","train"
"2006-06-11",162,2006,2,"development",365,"Distinct incident_key per occurrence date.",162,"nyc_shootings",100,"development","train"
"2006-06-12",163,2006,6,"development",365,"Distinct incident_key per occurrence date.",163,"nyc_shootings",100,"development","train"
"2006-06-13",164,2006,2,"development",365,"Distinct incident_key per occurrence date.",164,"nyc_shootings",100,"development","train"
"2006-06-14",165,2006,4,"development",365,"Distinct incident_key per occurrence date.",165,"nyc_shootings",100,"development","train"
