date,calendar_index,year,count,split,period,count_method,index,dataset,D_max,final_split,neural_split
1968-08-03,177,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,177,RAND_terrorism,100,development,train
1968-08-04,178,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,178,RAND_terrorism,100,development,train
1968-08-05,179,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,179,RAND_terrorism,100,development,train
1968-08-06,180,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,180,RAND_terrorism,100,development,train
1968-08-07,181,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,181,RAND_terrorism,100,development,train
1968-08-08,182,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,182,RAND_terrorism,100,development,train
1968-08-09,183,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,183,RAND_terrorism,100,development,train
1968-08-10,184,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,184,RAND_terrorism,100,development,train
1968-08-11,185,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,185,RAND_terrorism,100,development,train
1968-08-12,186,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,186,RAND_terrorism,100,development,train
1968-08-13,187,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,187,RAND_terrorism,100,development,train
1968-08-14,188,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,188,RAND_terrorism,100,development,train
1968-08-15,189,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,189,RAND_terrorism,100,development,train
1968-08-16,190,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,190,RAND_terrorism,100,development,train
1968-08-17,191,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,191,RAND_terrorism,100,development,train
1968-08-18,192,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,192,RAND_terrorism,100,development,train
1968-08-19,193,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,193,RAND_terrorism,100,development,train
1968-08-20,194,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,194,RAND_terrorism,100,development,train
1968-08-21,195,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,195,RAND_terrorism,100,development,train
1968-08-22,196,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,196,RAND_terrorism,100,development,train
1968-08-23,197,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,197,RAND_terrorism,100,development,train
1968-08-24,198,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,198,RAND_terrorism,100,development,train
